S/N,Cinema,No. of Screens,Year,Region
1,BLUE PICTURES,2,2022,Lagos Cinema Sites (Digital Cinema Initiatives DCI)
2,BRANDS CINEMA,2,2022,Lagos Cinema Sites (Digital Cinema Initiatives DCI)
3,COVENANT PLUS,2,2022,Lagos Cinema Sites (Digital Cinema Initiatives DCI)
4,DREAM PARK,4,2022,Lagos Cinema Sites (Digital Cinema Initiatives DCI)
5,EBONYLIFE CINEMA,5,2022,Lagos Cinema Sites (Digital Cinema Initiatives DCI)
6,FILMHOUSE CINEMAS CIRCLE MALL,4,2022,Lagos Cinema Sites (Digital Cinema Initiatives DCI)
7,FILMHOUSE CINEMAS IKOTA,6,2022,Lagos Cinema Sites (Digital Cinema Initiatives DCI)
8,FILMHOUSE CINEMAS LANDMARK,6,2022,Lagos Cinema Sites (Digital Cinema Initiatives DCI)
9,FILMHOUSE CINEMAS LEKKI,6,2022,Lagos Cinema Sites (Digital Cinema Initiatives DCI)
10,FILMHOUSE CINEMAS ONIRU,3,2022,Lagos Cinema Sites (Digital Cinema Initiatives DCI)
11,FILMHOUSE SURULERE,8,2022,Lagos Cinema Sites (Digital Cinema Initiatives DCI)
12,FILMWORLD CINEMA,3,2022,Lagos Cinema Sites (Digital Cinema Initiatives DCI)
13,GENESIS CINEMAS FESTAC,4,2022,Lagos Cinema Sites (Digital Cinema Initiatives DCI)
14,GENESIS MARYLAND,4,2022,Lagos Cinema Sites (Digital Cinema Initiatives DCI)
15,GENESIS NOVARE,5,2022,Lagos Cinema Sites (Digital Cinema Initiatives DCI)
16,GRAND CINEMA,8,2022,Lagos Cinema Sites (Digital Cinema Initiatives DCI)
17,HERITAGE CINEMA,2,2022,Lagos Cinema Sites (Digital Cinema Initiatives DCI)
18,JEWEL CINEMA,1,2022,Lagos Cinema Sites (Digital Cinema Initiatives DCI)
19,KAP CINEMA,1,2022,Lagos Cinema Sites (Digital Cinema Initiatives DCI)
20,MAGNIFICENT CINEMA,1,2022,Lagos Cinema Sites (Digital Cinema Initiatives DCI)
21,MEGA 1 CINEMA,4,2022,Lagos Cinema Sites (Digital Cinema Initiatives DCI)
22,OZONE CINEMA,6,2022,Lagos Cinema Sites (Digital Cinema Initiatives DCI)
23,SILVERBIRD CINEMA GALLERIA,5,2022,Lagos Cinema Sites (Digital Cinema Initiatives DCI)
24,SILVERBIRD IKEJA,5,2022,Lagos Cinema Sites (Digital Cinema Initiatives DCI)
25,SKY CINEMA,4,2022,Lagos Cinema Sites (Digital Cinema Initiatives DCI)
26,VIVA CINEMA IKEJA,4,2022,Lagos Cinema Sites (Digital Cinema Initiatives DCI)
27,ANNABEL CINEMAANAMBRA,1,2022,South-East Sites (DCI) 
28,CINE21 CINEMA ABA,5,2022,South-East Sites (DCI) 
29,"DUMES CINEMA, ABIA",1,2022,South-East Sites (DCI) 
30,GENESIS CINEMA OWERRI,3,2022,South-East Sites (DCI) 
31,HAVANA CINEMA OWERRI,3,2022,South-East Sites (DCI) 
32,MILA CINEMA ANAMBRA,3,2022,South-East Sites (DCI) 
33,RAINBOW CINEMA ONITSHA,1,2022,South-East Sites (DCI) 
34,VIVA CINEMA ENUGU,3,2022,South-East Sites (DCI) 
35,ZARA CINEMA ANAMBRA,1,2022,South-East Sites (DCI) 
36,CARTEGE CINEMAS ASABA,3,2022,South-South Sites (DCI)
37,DEEP END CINEMA BENIN,2,2022,South-South Sites (DCI)
38,"FIESTA CINEMA, UGHELLI",3,2022,South-South Sites (DCI)
39,FILMHOUSE CINEMAS BENIN,4,2022,South-South Sites (DCI)
40,FILMHOUSE PH GARDEN CITY,5,2022,South-South Sites (DCI)
41,FILMHOUSE PORT HARCOURT,5,2022,South-South Sites (DCI)
42,GENESIS ASABA,4,2022,South-South Sites (DCI)
43,GENESIS CINEMAS PH PREMIUM,3,2022,South-South Sites (DCI)
44,GENESIS PH CLASSIC,4,2022,South-South Sites (DCI)
45,GENESIS WARRI,4,2022,South-South Sites (DCI)
46,HABITAT CINEMA AGBOR,2,2022,South-South Sites (DCI)
47,KADA CINEMAS BENIN,5,2022,South-South Sites (DCI)
48,KADA CINEMAS PORT HARCOURT,3,2022,South-South Sites (DCI)
49,LIGHTHOUSE CINEMAS WARRI,1,2022,South-South Sites (DCI)
50,NOSTALGIA CINEMA,3,2022,South-South Sites (DCI)
51,SILVERBIRD UYO,2,2022,South-South Sites (DCI)
52,AZERS CINEMA OGUN,3,2022,South-West Sites (DCI)
53,FILMHOUSE CINEMAS AKURE,4,2022,South-West Sites (DCI)
54,FILMHOUSE CINEMAS DUGBE,5,2022,South-West Sites (DCI)
55,FILMHOUSE CINEMAS SAMONDA,3,2022,South-West Sites (DCI)
56,G2G CINEMA,1,2022,South-West Sites (DCI)
57,IMAGINE CINEMAS,1,2022,South-West Sites (DCI)
58,IMPERIAL CINEMA OSOGBO,3,2022,South-West Sites (DCI)
59,OOPL CINEMAABEOKURA,1,2022,South-West Sites (DCI)
60,VINTAGE CINEMA IBADAN,1,2022,South-West Sites (DCI)
