Area/LG,Cinema Name,GBO,Admissions,Avg. Ticket Price,Year
Victoria Island,EbonyLife Cinemas,"₦838,745,700","138,644","₦6,050",2024
Lekki,FilmHouse Lekki,"₦821,388,900","133,226","₦6,165",2024
Ikota,FilmHouse Ikota,"₦301,244,500","49,805","₦6,048",2024
Jakande,FilmHouse Circle Mall,"₦288,720,100","45,888","₦6,292",2024
Victoria Island,FilmHouse Landmark,"₦235,975,000","38,933","₦6,146",2024
Sangotedo,Sky Cinemas,"₦186,538,500","46,085","₦4,048",2024
Oniru,FilmHouse Oniru,"₦109,796,500","18,455","₦5,951",2024
Sangotedo,Nova Cinema Novare,"₦66,939,500","14,454","₦4,631",2024
Chevron,Grand Cinemas,"₦63,319,700","19,213","₦3,295",2024
Victoria Island,Silverbird Galleria,"₦61,598,600","15,680","₦3,951",2024
Lekki,FilmHouse Palms Lekki,"₦18,067,700","3,962","₦4,561",2024
Sangotedo,Mega 1 Cinemas,"₦16,975,500","3,842","₦4,263",2024
Lagos Island,Blue Pictures Cinemas,"₦15,324,000","4,812","₦3,184",2024
Lekki,Silverbird Banex Mall Lekki,"₦9,126,425","2,969","₦3,074",2024
Ajah,Pepperoni Cinemas,"₦8,538,000","2,626","₦3,251",2024
Lekki,Genesis Lekki Purple Mall,"₦7,540,500","1,745","₦4,321",2024
Ikota,Royal Roots Cinema,"₦3,851,500",969,"₦3,973",2024
Lekki,Jewel Aieta Cinema,"₦1,687,000",321,"₦5,255",2024
Ikeja,Silverbird Ikeja,"₦829,536,225","206,440","₦4,018",2024
Surulere,FilmHouse Surulere,"₦397,224,500","77,990","₦5,093",2024
Festac,Genesis Festival Mall,"₦387,318,500","64,849","₦5,475",2024
Maryland,Genesis Maryland Mall,"₦353,119,000","64,498","₦5,475",2024
Agege,THC Cinemax,"₦175,679,000","31,698","₦5,547",2024
Ikeja,Viva Ikeja,"₦126,574,600","41,620","₦3,039",2024
Ikotun,Filmworld Cinemas,"₦122,464,400","41,919","₦2,924",2024
Yaba,Ozone Yaba,"₦104,414,500","26,586","₦3,928",2024
Ikorodu,Dream Park Cinemas,"₦60,893,500","27,067","₦2,249",2024
Ojodu,Brands Cinemas,"₦16,170,000","6,094","₦2,653",2024
Badagry Express,AA Cinema,"₦15,486,160","6,093","₦3,027",2024
Abule Egba,Magnificent Cinemas,"₦15,426,500","4,985","₦3,098",2024
Abule Egba,Heritage Cinemas Lagos,"₦15,412,500","7,982","₦1,931",2024
Abule Egba,Covenant Plus Cinemas Abule-Egba,"₦12,855,500","2,982","₦4,313",2024
Ifako Ijaiye,KAP Cinemas,"₦9,600,000",264,"₦2,000",2024
Ifako Ijaiye,Covenant Plus Cinemas Ifako-Ijaiye,"₦6,048,000",284,"₦2,200",2024
Ojo,Alinco Cinemas,"₦6,144,500","1,264","₦4,863",2024
Ikorodu,Labi Oasis Cinema,"₦7,000",4,"₦1,750",2024
